순위,단어,품사,등급,카테고리
4862,계획하다01,동,B,기타
403,고개01,명,B,기타
5857,고개02,명,C,기타
1717,고객04,명,B,기타
3968,고교04,명,B,기타
,고구려,고,C,기타
7996,고구마,명,B,기타
11578,고궁01,명,C,기타
1915,고급02,명,B,기타
8305,고급스럽다,형,C,기타
1055,고기01,명,A,기타
1337,고등학교,명,A,장소
7445,고등학생,명,A,사람 및 관계
,고려,고,C,기타
1490,고려하다01,동,B,기타
1496,고르다01,동,B,기타
5175,고르다03,형,B,기타
857,고맙다01,형,A,기타
1848,고모01,명,B,기타
8668,고모부,명,B,기타
9911,고무신,명,C,기타
1748,고민,명,B,기타
3104,고민하다,동,B,기타
1916,고생,명,B,기타
3065,고생하다,동,B,기타
8307,고소하다01,형,C,기타
6178,고속02,명,B,기타
5176,고속도로,명,B,기타
11580,고속버스,명,B,기타
1987,고양이,명,A,기타
3851,고요하다,형,C,기타
3175,고작02,부,C,기타
1480,고장01,명,B,기타
3625,고장11,명,B,기타
2733,고전02,명,C,기타
5316,고집02,명,C,장소
3969,고집하다,동,C,장소
2126,고추01,명,B,기타
6014,고추장,명,B,기타
9916,고춧가루,명,B,기타
1503,고치다01,동,B,기타
986,고통,명,B,기타
3674,고통스럽다,형,C,기타
5860,고프다,형,A,기타
4181,고함01,명,C,기타
593,고향02,명,A,기타
3459,곡02,명,C,기타
3460,곡식,명,C,기타
3675,곤란하다,형,C,기타
307,곧01,부,A,기타
6180,곧다01,형,C,기타
3215,곧바로,부,B,기타
9044,곧이어,부,C,기타
3970,곧잘,부,C,기타
4767,곧장,부,C,기타
1083,골14,명,C,기타
4258,골고루,부,C,기타
2821,골목01,명,B,기타
7448,골목길,명,B,기타
3971,골짜기01,명,C,기타
6181,골치01,명,C,기타
5717,골프,명,B,기타
6015,골프장,명,B,기타
4671,곰03,명,B,기타
1326,곱다02,형,B,기타
116,곳01,명,A,기타
2589,곳곳,명,B,기타
988,공01,명,A,기타
623,공간05,명,B,기타
1338,공개02,명,C,기타
2703,공개하다,동,C,기타
1988,공격02,명,C,기타
4182,공격하다,동,C,기타
4114,공공02,명,C,기타
4043,공군02,명,C,기타
1772,공급02,명,C,기타
1433,공기06,명,B,자연 및 환경
9047,공기07,명,C,자연 및 환경
953,공동02,명,B,기타
1865,공무원,명,B,기타
490,공부01,명,A,직업 및 활동
807,공부하다,동,A,직업 및 활동
1374,공사02,명,B,기타
2462,공식01,명,C,기타
4325,공식적,명,C,기타
1084,공업01,명,C,기타
1067,공연02,명,B,기타
9462,공연되다,동,C,기타
4864,공연장,명,C,기타
